Sr_No,Application Name,Customer Initiated Transactions in Volume (Mn),Customer Initiated Transactions in Value (Cr),B2C Transactions in Volume (Mn),B2C Transactions in Value (Cr),B2B Transactions in Volume (Mn),B2B Transactions in Value (Cr),On-us Transactions in Volume (Mn),On-us Transactions in Value (Cr),Total in Volume (Mn),Total in Value (Cr),Date
52001,PhonePe,"6,502.15","10,02,387.84",0,0,0,0,0,0,"6,502.15","10,02,387.84",Mar-24
52002,Google Pay,"5,061.18","6,95,196.05",0,0,0,0,0,0,"5,061.18","6,95,196.05",Mar-24
52003,Paytm,"1,210.64","1,33,707.06",0,0.01,0,0,19.4,699.77,"1,230.04","1,34,406.85",Mar-24
52004,Cred,132.31,"44,991.57",0,0,0,0,0,0,132.31,"44,991.57",Mar-24
52005,Axis Bank Apps,13.59,"3,044.92",81,"4,389.01",0.01,1.99,0,0,94.6,"7,435.92",Mar-24
52006,Amazon Pay,65.35,6772.89,0,0,0,0,0,0,65.35,"6,772.89",Mar-24
52007,ICICI Bank Apps,33.54,"14,491.28",4.54,397.58,7.9,"11,608.08",0,0,45.98,"26,496.95",Mar-24
52008,Fampay,43.69,528.01,0,0,0,0,0,0,43.69,528.01,Mar-24
52009,Kotak Mahindra Bank Apps,39.14,"5,763.37",0,0,0,0,0,0,39.14,"5,763.37",Mar-24
52010,HDFC Bank Apps,33.07,"7,289.09",1.95,3.72,0.01,0.26,0,0,35.03,"7,293.07",Mar-24
52011,WhatsApp,31.21,"2,536.99",0,0,0,0,0,0,31.21,"2,536.99",Mar-24
52012,BHIM,30.04,"8,339.37",0,0,0,0,0,0,30.04,"8,339.37",Mar-24
52013,Yes Bank Apps,24.13,"13,833.30",0,0,0.32,35.8,0,0,24.45,"13,869.10",Mar-24
52014,Airtel Payments Bank Apps,15.64,"1,162.62",0,0,0,0.2,0.37,44.2,16.01,"1,207.02",Mar-24
52015,Bajaj Finserv,15.81,"2,803.20",0,0,0,0,0,0,15.81,"2,803.20",Mar-24
52016,Mobikwik,8.27,"2,190.01",0,0,0,0,0,0,8.27,"2,190.01",Mar-24
52017,India Post Payments Bank Apps,6.82,851.01,0,0,0,0,0,0,6.82,851.01,Mar-24
52018,Groww,6.72,"3,539.14",0,0,0,0,0,0,6.72,"3,539.14",Mar-24
52019,State Bank of India Apps,6.59,"2,394.79",0,0,0.04,1.08,0,0,6.63,"2,395.88",Mar-24
